PRN_NO,Name,hour_study,prev_midsemmarks,Prev_Sem_Marks,Attendance_%,Mobile_Screen_Time_hrs,Risk
2300001,Rohan Kulkarni,3,2,35,34.7,8.1,1
2300002,Siddharth Pandey,3,5,21,39.2,6.1,1
2300003,Priya Kumar,6,11,62,60.4,7.5,0
2300004,Siddharth Joshi,0,19,50,67.1,9.8,0
2300005,Raj More,8,10,99,96.3,9.9,0
2300006,Suresh Desai,1,6,66,45.1,10.3,1
2300007,Priya Singh,0,0,52,63.2,2.8,1
2300008,Ishaan Patel,6,15,36,45.8,1.2,1
2300009,Amit Verma,5,15,73,69.1,10.1,0
2300010,Vijay Shah,2,16,73,93.7,1,0
2300011,Kunal Rao,0,14,70,69.7,3,0
2300012,Vivaan Sharma,4,20,71,65.7,6.6,0
2300013,Ananya Shah,3,8,26,82.5,10.3,0
2300014,Deepak Pawar,4,4,73,40.3,10.8,1
2300015,Manish Nair,0,19,30,93.4,7.7,1
2300016,Nikhil Chavan,0,7,81,70.4,11.6,1
2300017,Pooja Pandey,4,20,49,78,8.9,0
2300018,Kunal More,5,0,76,87.3,6.6,0
2300019,Ananya Kulkarni,4,6,65,74.5,2,0
2300020,Deepak Patel,1,10,99,74.9,5.4,0
2300021,Arjun More,8,19,89,81.1,10,0
2300022,Rohan Mehta,4,20,85,33.7,3.8,0
2300023,Rohan Jadhav,4,12,74,56.8,7.2,1
2300024,Vihaan Tiwari,8,12,77,97.4,11.8,0
2300025,Shreya Mehta,2,6,29,48.1,2.5,1
2300026,Raj Verma,4,10,23,68,1.7,0
2300027,Aisha Pandey,4,17,93,42.3,9.6,1
2300028,Nikhil Joshi,1,0,92,52.6,0.8,1
2300029,Ananya Kumar,3,11,81,80.2,7.9,0
2300030,Pooja Patel,1,2,62,75,4.4,1
2300031,Sneha Pawar,4,0,61,59,8.8,1
2300032,Vihaan Jadhav,1,3,43,95.7,1.9,1
2300033,Ishaan Singh,8,5,24,84.3,4.3,1
2300034,Vivaan Rao,5,4,87,48.8,0.7,1
2300035,Amit Nair,7,10,96,62.6,3.2,0
2300036,Vihaan Jadhav,8,19,64,91.5,6.1,0
2300037,Raj Shah,7,12,78,31.6,2.5,0
2300038,Vivaan Nair,4,10,84,70.7,7.4,0
2300039,Kunal Singh,4,5,82,46.2,1.9,1
2300040,Sneha Chavan,5,18,94,34.5,9.1,1
2300041,Pooja Kumar,0,14,86,93.9,11.1,0
2300042,Sneha Kumar,7,20,68,87.1,4.9,0
2300043,Rahul Chavan,1,12,96,43,6.6,1
2300044,Diya Jadhav,5,9,51,88.6,6.1,0
2300045,Pooja Mishra,8,0,69,40.2,9.5,1
2300046,Krishna Pandey,2,12,77,63.3,11.9,0
2300047,Diya Sharma,1,5,71,80.8,9,1
2300048,Deepak Joshi,4,20,42,67.4,3,0
2300049,Krishna Sharma,8,19,49,89.6,8.5,0
2300050,Ananya Kumar,5,11,89,73.2,7.6,0
2300051,Vijay Desai,7,16,90,60.2,2.9,0
2300052,Neha Pawar,7,17,49,94.8,3.3,0
2300053,Ishaan Patel,6,7,56,32.5,8,1
2300054,Aditya Sharma,4,13,67,64.2,9.8,0
2300055,Manish Gupta,1,4,51,76.3,9.3,1
2300056,Aryan Joshi,4,1,89,88.5,7.5,0
2300057,Raj Mehta,6,10,54,67.9,11.3,0
2300058,Nikhil Joshi,6,2,95,92,8.9,0
2300059,Krishna Kumar,1,15,87,59.8,6.7,1
2300060,Ananya Verma,6,20,51,52.2,9.9,1
2300061,Aarav Chavan,5,15,78,98.2,3.8,0
2300062,Suresh Gupta,6,8,54,76.7,3.5,0
2300063,Aditya Shah,7,12,35,59.8,11.7,1
2300064,Ishaan Patel,3,9,98,91.5,11.4,0
2300065,Aarav Patel,0,16,71,77.8,10.6,0
2300066,Arjun Pandey,7,20,85,74.7,3,0
2300067,Sneha Patel,7,16,25,81,7.3,0
2300068,Aarav Gupta,2,9,33,81.7,6.7,1
2300069,Raj Tiwari,2,7,48,64.5,2.8,1
2300070,Rohan Mehta,4,6,45,59.4,5.6,1
2300071,Pooja Pandey,2,13,37,93.6,5.8,1
2300072,Raj Nair,4,17,23,64.8,3.3,0
2300073,Nikhil Mishra,7,20,76,45.1,11.5,1
2300074,Neha Joshi,0,18,72,66.5,6.2,0
2300075,Kavya Kulkarni,1,17,44,32.4,6.5,1
2300076,Siddharth Singh,1,13,66,80.6,7.4,0
2300077,Kunal Gupta,3,9,71,38.9,10.7,1
2300078,Suresh Joshi,8,0,53,37.8,6.6,1
2300079,Diya Pandey,1,8,35,96.2,6.7,1
2300080,Priya Singh,8,17,55,84.1,3.3,0
2300081,Diya Joshi,6,12,47,59,7.4,1
2300082,Manish More,7,16,84,46.8,4.9,0
2300083,Amit Verma,0,15,91,89,7.9,0
2300084,Aryan Mishra,4,10,72,97.8,4,0
2300085,Kunal Rao,8,8,61,65.6,8.7,0
2300086,Nikhil Shah,3,6,98,70.6,7.6,0
2300087,Ananya Kulkarni,1,0,38,47,6,1
2300088,Kunal Desai,5,8,63,71.2,1.6,0
2300089,Raj Joshi,1,9,49,58,7.7,1
2300090,Kunal Sharma,2,15,93,89.2,10.4,0
2300091,Aarav Kulkarni,7,20,63,56.4,2.5,0
2300092,Diya Mehta,2,17,46,75.4,1.5,1
2300093,Aditya Joshi,1,13,92,44.2,1,1
2300094,Sai Kumar,5,10,53,36.3,0.9,0
2300095,Manish Mehta,2,3,43,32.8,10.2,1
2300096,Kunal Gupta,0,18,75,59.1,8.9,1
2300097,Aarav More,2,12,26,41.4,2.8,1
2300098,Aryan Shah,5,0,87,99.5,11,0
2300099,Vijay Pandey,2,20,70,85.9,2.1,0
2300100,Manish Mehta,8,18,27,78.5,4.8,0
2300101,Aisha Pawar,6,14,75,86.2,5.7,0
2300102,Kunal Pawar,4,19,96,48.4,1.4,0
2300103,Raj Kulkarni,1,14,77,91.5,4.5,0
2300104,Ananya Joshi,8,10,88,99.7,1.7,0
2300105,Vivaan Patel,4,4,27,50.3,9.6,1
2300106,Kavya Gupta,6,9,85,98.9,1,0
2300107,Kavya Pawar,8,17,43,52.4,0.7,1
2300108,Manish Pawar,3,6,61,30.8,8.9,1
2300109,Vivaan Verma,8,0,73,55.7,9.5,1
2300110,Nikhil Gupta,0,2,35,99.8,6.2,1
2300111,Aarav Sharma,5,0,23,74.5,4.2,1
2300112,Neha Verma,1,16,78,78.7,3.2,0
2300113,Rahul Shah,7,14,65,46.7,1.8,0
2300114,Raj Rao,4,4,32,40.2,6.1,1
2300115,Suresh Singh,2,15,56,92,6.1,0
2300116,Suresh Desai,1,11,73,58.9,5.7,1
2300117,Vijay Pawar,7,18,68,30.3,9.5,1
2300118,Sai Gupta,6,13,94,50.6,1.6,0
2300119,Aisha Verma,8,2,77,43.7,8.2,1
2300120,Sai Desai,7,18,38,72.3,5.1,0
2300121,Riya Chavan,3,0,37,82.9,3.3,1
2300122,Aarav Mehta,1,20,79,64.8,8.3,0
2300123,Nikhil Rao,1,0,36,43,2.8,1
2300124,Riya Patel,1,9,30,34.1,3.2,1
2300125,Aisha Singh,5,2,34,51.9,12,1
2300126,Neha Patel,6,12,91,86.4,10.7,0
2300127,Neha Kulkarni,5,5,36,59.4,8.5,1
